Date,Value
2016-02-29,331490.0
2016-01-31,335000.0
2015-12-31,333488.0
2015-11-30,339900.0
2015-10-31,330000.0
2015-02-28,333486.0
2015-01-31,319000.0
2014-12-31,319900.0
2014-11-30,299999.0
2014-10-31,299999.0
2014-09-30,315000.0
2014-08-31,320000.0
2014-07-31,310000.0
2014-06-30,315000.0
2014-05-31,314900.0
2014-04-30,308600.0
2014-03-31,295990.0
2014-02-28,310000.0
2014-01-31,304000.0
2013-12-31,314900.0
2013-11-30,315000.0
2013-10-31,325000.0
2013-09-30,315000.0
2013-08-31,319000.0
2013-07-31,325000.0
2013-06-30,338000.0
2013-05-31,325000.0
2013-04-30,300000.0
2013-03-31,297500.0
2013-02-28,299000.0
2013-01-31,280000.0
2012-12-31,295000.0
2012-11-30,290000.0
2012-10-31,299000.0
2012-09-30,289000.0
2012-08-31,299900.0
2012-07-31,298990.0
2012-06-30,295000.0
2012-05-31,309500.0
2012-04-30,309500.0
2012-03-31,309000.0
2012-02-29,309000.0
2012-01-31,299900.0
2011-12-31,299000.0
2011-11-30,299000.0
2011-10-31,295999.0
2011-09-30,294500.0
2011-08-31,289000.0
2011-07-31,289500.0
2011-06-30,285000.0
2011-05-31,259999.0
2011-04-30,259000.0
2011-03-31,265000.0
2011-02-28,265000.0
2011-01-31,265000.0
2010-12-31,273400.0
2010-11-30,285000.0
2010-10-31,280000.0
2010-09-30,285000.0
2010-08-31,289900.0
2010-07-31,295000.0
2010-06-30,295000.0
2010-05-31,295000.0
2010-04-30,294900.0
2010-03-31,289000.0
2010-02-28,285000.0
2010-01-31,289000.0
2009-12-31,295000.0
2009-11-30,295000.0
2009-10-31,298900.0
2009-09-30,300000.0
2009-08-31,299900.0
2009-07-31,300000.0
2009-06-30,325000.0
2009-05-31,326000.0
2009-04-30,310000.0
2009-03-31,310000.0
2009-02-28,300000.0
2009-01-31,319000.0
2008-12-31,319900.0
2008-11-30,329700.0
2008-10-31,339000.0
